ID,BID,ASK,DATE
USDHKD,7.75097,7.75127,20140814204743,
USDJPY,102.439,102.443,20140814204852,
EURJPY,137.028,137.038,20140814204852,
AUDJPY,95.424,95.433,20140814204852,
GBPJPY,170.899,170.917,20140814204852,
NZDJPY,87.054,87.072,20140814204852,
CADJPY,94.008,94.032,20140814204852,
CHFJPY,113.035,113.059,20140814204852,
ZARJPY,9.681,9.7,20140814204852,
CNHJPY,16.637,16.667,20140814204852,
EURUSD,1.33764,1.33772,20140814204852,
GBPUSD,1.66818,1.66843,20140814204852,
AUDUSD,0.93139,0.93157,20140814204852,
NZDUSD,0.84955,0.84985,20140814204852,
HKDJPY,13.202,13.232,20140814204852,
EURGBP,0.80172,0.8019,20140814204852,
EURAUD,1.43598,1.43621,20140814204852,
USDCHF,0.90613,0.90631,20140814204852,
EURCHF,1.21213,1.21231,20140814204852,
GBPCHF,1.51172,1.51202,20140814204852,
AUDCHF,0.84396,0.84426,20140814204852,
CADCHF,0.83139,0.83199,20140814204852,
USDHKD,7.75097,7.75127,20140814204852,
USDJPY,102.437,102.441,20140814204959,
EURJPY,137.023,137.033,20140814204959,
AUDJPY,95.42,95.429,20140814204959,
GBPJPY,170.883,170.901,20140814204959,
NZDJPY,87.047,87.065,20140814204959,
CADJPY,94.003,94.027,20140814204959,
CHFJPY,113.03,113.054,20140814204959,
ZARJPY,9.679,9.698,20140814204959,
CNHJPY,16.636,16.666,20140814204959,
EURUSD,1.33767,1.33775,20140814204959,
GBPUSD,1.66812,1.66837,20140814204959,
AUDUSD,0.9314,0.93158,20140814204959,
NZDUSD,0.84952,0.84982,20140814204959,
HKDJPY,13.201,13.231,20140814204959,
EURGBP,0.80176,0.80194,20140814204959,
EURAUD,1.43596,1.43619,20140814204959,
USDCHF,0.90609,0.90627,20140814204959,
EURCHF,1.21213,1.21231,20140814204959,
GBPCHF,1.5116,1.5119,20140814204959,
AUDCHF,0.84396,0.84426,20140814204959,
CADCHF,0.83135,0.83195,20140814204959,
USDHKD,7.75097,7.75127,20140814204959,
USDJPY,102.443,102.447,20140814205106,
EURJPY,137.036,137.046,20140814205106,
AUDJPY,95.427,95.436,20140814205106,
GBPJPY,170.906,170.924,20140814205106,
NZDJPY,87.055,87.073,20140814205106,
CHFJPY,113.037,113.061,20140814205106,
CADJPY,94.021,94.045,20140814205106,
ZARJPY,9.68,9.699,20140814205106,
CNHJPY,16.637,16.667,20140814205106,
EURUSD,1.33763,1.33771,20140814205106,
GBPUSD,1.66818,1.66843,20140814205106,
